"46","1765948388471-820205887-1",\N,"1765649478569-891341182","1765736227116-1005852192","1","2.00l","0","0","0","0","0","0","0",\N,"morning","active","2025-12-17 08:15:53","2025-12-17 08:15:53"
"47","1765978154350-279143255-1",\N,"1765649478569-891341182","1765764384562-1005852192","1","3.5l","0","0","0","0","0","0","0",\N,"evening","active","2025-12-17 17:04:06","2025-12-17 17:04:06"
"48","1765978198087-820205887-1",\N,"1765649478569-891341182","1765736227116-1005852192","1","2.00l","0","0","0","0","0","0","0",\N,"evening","active","2025-12-17 17:04:06","2025-12-17 17:04:06"
"49","1765978254175-516599508-1",\N,"1765649478569-891341182","1765738128976-1005852192","1","1.5l","0","0","0","0","0","0","0",\N,"evening","active","2025-12-17 17:04:06","2025-12-17 17:04:06"
"50","1765978321270-1072486652-1",\N,"1765649478569-891341182","1765765924324-181506292","1","2.5l","0","0","0","0","0","0","0",\N,"evening","active","2025-12-17 17:04:06","2025-12-17 17:04:06"
"51","1765978504837-178418082-1",\N,"1765649478569-891341182","1765736803268-1005852192","1","1.5l","0","0","0","0","0","0","0",\N,"evening","active","2025-12-17 17:04:06","2025-12-17 17:04:06"
"52","1765978572401-936242801-1",\N,"1765649478569-891341182","1765907213619-1005852192","1","2.00l","0","0","0","0","0","0","0","0","evening","active","2025-12-17 17:04:06","2025-12-17 17:04:06"
"53","1765978884348-304433647-1",\N,"1765649478569-891341182","1765737142511-1005852192","1","2.00l","0","0","0","0","0","0","0","0","evening","active","2025-12-17 17:04:06","2025-12-17 17:04:06"
"54","1765978988999-105408125-1",\N,"1765649478569-891341182","1765737474297-1005852192","1","2.00l","0","0","0","0","0","0","0","0","evening","active","2025-12-17 17:04:06","2025-12-17 17:04:06"
"55","1765979215777-674806673-1",\N,"1765649478569-891341182","1765738301735-1005852192","1","1.00l","0","0","0","0","0","0","0","0","evening","active","2025-12-17 17:04:06","2025-12-17 17:04:06"
"56","1765979452861-499777460-1",\N,"1765649478569-891341182","1765737750060-1005852192","1","2.00l","0","0","0","0","0","0","0","0","evening","active","2025-12-17 17:04:06","2025-12-17 17:04:06"
"57","1765979713082-748017357-1",\N,"1765649478569-891341182","1765737612501-1005852192","1","2.00l","0","0","0","0","0","0","0",\N,"evening","active","2025-12-17 17:04:06","2025-12-17 17:04:06"
"58","1765980066383-526207589-1",\N,"1765649478569-891341182","1765738482933-1005852192","1","1.5l","0","0","0","0","0","0","0","0","evening","active","2025-12-17 17:04:06","2025-12-17 17:04:06"
"59","1766027050165-279143255-1",\N,"1765649478569-891341182","1765764384562-1005852192","1","4.5l","0","0","0","0","0","0","0",\N,"morning","active","2025-12-18 06:51:23","2025-12-18 06:51:23"
"60","1766027091477-820205887-1",\N,"1765649478569-891341182","1765736227116-1005852192","1","2.5l","0","0","0","0","0","0","0",\N,"morning","active","2025-12-18 06:51:23","2025-12-18 06:51:23"
"61","1766027210691-304433647-1",\N,"1765649478569-891341182","1765737142511-1005852192","1","2.5l","0","0","0","0","0","0","0",\N,"morning","active","2025-12-18 06:51:23","2025-12-18 06:51:23"
"62","1766027305854-516599508-1",\N,"1765649478569-891341182","1765738128976-1005852192","1","2.00l","0","0","0","0","0","0","0",\N,"morning","active","2025-12-18 06:51:23","2025-12-18 06:51:23"
"63","1766027556541-178418082-1",\N,"1765649478569-891341182","1765736803268-1005852192","1","2.00l","0","0","0","0","0","0","0",\N,"morning","active","2025-12-18 06:51:23","2025-12-18 06:51:23"
"64","1766027775727-936242801-1",\N,"1765649478569-891341182","1765907213619-1005852192","1","3.00l","0","0","0","0","0","0","0",\N,"morning","active","2025-12-18 06:51:23","2025-12-18 06:51:23"
"65","1766028000105-1072486652-1",\N,"1765649478569-891341182","1765765924324-181506292","1","3.00l","0","0","0","0","0","0","0",\N,"morning","active","2025-12-18 06:51:23","2025-12-18 06:51:23"
"66","1766028386738-499777460-1",\N,"1765649478569-891341182","1765737750060-1005852192","1","2.5l","0","0","0","0","0","0","0",\N,"morning","active","2025-12-18 06:51:23","2025-12-18 06:51:23"
"67","1766028444130-526207589-1",\N,"1765649478569-891341182","1765738482933-1005852192","1","2.00l","0","0","0","0","0","0","0",\N,"morning","active","2025-12-18 06:51:23","2025-12-18 06:51:23"
"68","1766028974663-105408125-1",\N,"1765649478569-891341182","1765737474297-1005852192","1","2.5l","0","0","0","0","0","0","0",\N,"morning","active","2025-12-18 06:51:23","2025-12-18 06:51:23"
"69","1766029215425-748017357-1",\N,"1765649478569-891341182","1765737612501-1005852192","1","3.00l","0","0","0","0","0","0","0",\N,"morning","active","2025-12-18 06:51:23","2025-12-18 06:51:23"
"70","1766029662608-545878703-1",\N,"1765649478569-891341182","1765736612497-1005852192","1","3.00l","0","0","0","0","0","0","0",\N,"morning","active","2025-12-18 06:51:23","2025-12-18 06:51:23"
"71","1766029706750-674806673-1",\N,"1765649478569-891341182","1765738301735-1005852192","1","1.5l","0","0","0","0","0","0","0",\N,"morning","active","2025-12-18 06:51:23","2025-12-18 06:51:23"
"72","1766069399205-936242801-1",\N,"1765649478569-891341182","1765907213619-1005852192","1","2.00l","0","0","0","0","0","0","0",\N,"morning","active","2025-12-18 18:01:35","2025-12-18 18:01:35"
